Rk,Date,G#,Week,Age,Tm,Column1,Opp,Result,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Kick Returns Rt,Kick Returns Yds,Kick Returns Y/Rt,Kick Returns TD,Punt Returns Ret,Punt Returns Yds,Punt Returns Y/R,Punt Returns TD,Scoring TD,Scoring Pts,Fumbles Fmb,Fumbles FL,Fumbles FF,Fumbles FR,Fumbles Yds,Fumbles TD,Off. Snaps Num,Off. Snaps Pct,Def. Snaps Num,Def. Snaps Pct,ST Snaps Num,ST Snaps Pct
1,9/11/2023,1,1,23.22,BUF,@,NYJ,L 16-22,,,,,,,0,,,,,,,,,,,,,,0,0,,,,,,,7,0.1,0,0,6,0.23
2,9/17/2023,2,2,23.226,BUF,,LVR,W 38-10,,1,1,11,11,1,1,11,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,12,0.15,0,0,3,0.14
3,9/24/2023,3,3,23.233,BUF,@,WAS,W 37-3,,1,1,5,5,0,1,5,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,16,0.24,0,0,2,0.09
4,10/1/2023,4,4,23.24,BUF,,MIA,W 48-20,*,1,0,0,,0,0,0,0,0,,0,2,43,21.5,0,0,0,,0,0,0,0,0,0,0,0,0,16,0.28,0,0,4,0.14
5,10/8/2023,5,5,23.247,BUF,,JAX,L 20-25,*,1,1,11,11,0,1,11,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,19,0.32,0,0,5,0.2
6,10/15/2023,6,6,23.254,BUF,,NYG,W 14-9,,1,1,13,13,0,1,13,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,24,0.39,0,0,7,0.33
7,10/22/2023,7,7,23.261,BUF,@,NWE,L 25-29,,4,4,35,8.75,0,1,8.75,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,24,0.34,0,0,7,0.29
8,10/26/2023,8,8,23.265,BUF,,TAM,W 24-18,*,6,6,92,15.33,0,1,15.33,0,0,,0,1,9,9,0,0,0,,0,0,0,0,0,0,0,0,0,45,0.65,0,0,5,0.19
9,11/5/2023,9,9,23.275,BUF,@,CIN,L 18-24,*,4,4,57,14.25,0,1,14.25,0,0,,0,1,27,27,0,0,0,,0,0,0,0,0,0,0,0,0,41,0.71,0,0,5,0.24
10,11/13/2023,10,10,23.283,BUF,,DEN,L 22-24,,2,1,24,24,0,0.5,12,0,0,,0,1,19,19,0,0,0,,0,0,0,0,0,0,0,0,0,41,0.76,0,0,10,0.37
11,11/19/2023,11,11,23.289,BUF,,NYJ,W 32-6,*,4,3,115,38.33,1,0.75,28.75,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,56,0.74,0,0,10,0.37
12,11/26/2023,12,12,23.296,BUF,@,PHI,L 34-37,*,5,3,47,15.67,0,0.6,9.4,0,0,,0,0,0,,0,5,37,7.4,0,0,0,1,0,0,1,0,0,76,0.8,0,0,5,0.14
13,12/10/2023,13,14,23.31,BUF,@,KAN,W 20-17,,1,1,12,12,0,1,12,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,47,0.61,0,0,4,0.17
14,12/17/2023,14,15,23.317,BUF,,DAL,W 31-10,*,1,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,33,0.49,0,0,3,0.13
15,12/23/2023,15,16,23.323,BUF,@,LAC,W 24-22,*,3,3,45,15,0,1,15,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,32,0.58,0,0,7,0.23
16,12/31/2023,16,17,23.331,BUF,,NWE,W 27-21,*,4,4,39,9.75,0,1,9.75,1,10,10,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,55,0.8,0,0,4,0.14
17,1/7/2024,17,18,23.338,BUF,@,MIA,W 21-14,*,6,6,105,17.5,0,1,17.5,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,60,0.77,0,0,5,0.28
